,CANT,CVE_ART,DESCR
0,1,TUE00244,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V"
1,1,TUA00028,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT"
2,7,TP0007,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT
3,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
4,2,BP00242,BAN P INOX 115MMX235MM 1000W 127V T/TOR
5,2,BP00243,BAN P INOX 55MMX235MM 450W 127V T/TOR
6,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V
7,3,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
8,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
9,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
10,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
11,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
12,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
13,1,BO00051,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA
14,1,BC00023,BC INOX 114MMØX165MM 1500W 230V C/ALLEN
15,5,PT00070,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP"
16,2,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
17,3,PJ31C1F1AA00,"TER J 3/16""ØX2"" EXT.2MT CON-1/2"" NPT"
18,5,WRE-2133,BAN MICA 120mmØx50mm 850W 440V TTORNILLO
19,7,WRE-2774,BAN MICA Ø120MM X 50 MM 700W 440V T TOR
20,3,WRE-4885,BAN INOX 36MMØX25MM 150W 240V EXT30CM
21,3,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN"
22,1,PT00080,PT-100 4MMØX10CM EXT 5MT TEFLON 2HILOS
23,1,PT00081,"PT-100 DE 1/4""ØX14.5CM EXT 5MT CONECTOR"
24,2,RP00150,REPARACION DE TERMOPAR
25,3,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP"
26,5,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
27,6,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
